                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.73106,                0.52383,                 1.0947,                0.85313,                 0.8244,                0.86937,                0.58371,                0.76366,                0.58206,                 1.1141,             0.00077582,             0.00077582,             0.00077582
                     56,                0.70753,                0.51182,                  1.076,                0.93148,                0.82066,                0.91116,                0.60798,                0.75144,                0.60868,                 1.0707,             0.00075932,             0.00075932,             0.00075932
                     57,                0.72447,                0.51446,                 1.0737,                0.91045,                0.83388,                0.88756,                0.57576,                0.75607,                0.59808,                 1.1011,             0.00074282,             0.00074282,             0.00074282
                     58,                0.73864,                0.51372,                 1.0749,                0.88941,                0.86821,                0.91786,                0.59343,                0.80953,                0.60417,                 1.1073,             0.00072631,             0.00072631,             0.00072631
                     59,                0.70054,                0.47382,                 1.0628,                0.87548,                0.87525,                0.90301,                0.59727,                0.76626,                0.60319,                 1.1023,             0.00070981,             0.00070981,             0.00070981
                     60,                0.71056,                0.50102,                 1.0741,                0.84788,                0.91422,                0.91061,                0.61156,                0.78394,                0.55663,                 1.1262,             0.00069331,             0.00069331,             0.00069331
                     61,                0.72018,                0.48641,                 1.0799,                0.88878,                0.78721,                0.82645,                0.54412,                0.76432,                0.61844,                  1.115,              0.0006768,              0.0006768,              0.0006768
                     62,                0.70082,                0.49816,                 1.0581,                0.88603,                0.82193,                0.89679,                0.58941,                0.72348,                0.58619,                 1.0874,              0.0006603,              0.0006603,              0.0006603
                     63,                0.70537,                0.48786,                 1.0592,                0.93261,                0.81927,                0.88808,                0.59664,                0.77566,                0.59864,                 1.1017,              0.0006438,              0.0006438,              0.0006438
                     64,                0.68898,                0.48526,                 1.0535,                0.89855,                0.86357,                0.88841,                0.56721,                0.81164,                 0.6214,                 1.1462,             0.00062729,             0.00062729,             0.00062729
                     65,                0.71502,                0.48945,                 1.0758,                0.81567,                0.90272,                0.91086,                 0.5881,                0.76759,                0.59763,                 1.1066,             0.00061079,             0.00061079,             0.00061079
                     66,                0.72877,                0.49775,                 1.0743,                0.93239,                0.82763,                0.91391,                0.62223,                0.75438,                0.58525,                 1.0908,             0.00059429,             0.00059429,             0.00059429
                     67,                0.66288,                0.46316,                 1.0481,                  0.928,                0.87877,                0.91996,                0.59669,                0.80653,                0.58962,                 1.1141,             0.00057778,             0.00057778,             0.00057778
                     68,                 0.6673,                0.47377,                 1.0511,                0.84828,                0.86771,                0.89139,                0.57845,                0.78803,                0.56522,                 1.1049,             0.00056128,             0.00056128,             0.00056128
                     69,                0.67275,                0.48341,                 1.0501,                0.94114,                0.86334,                0.90911,                0.56657,                0.76185,                0.55645,                 1.1101,             0.00054478,             0.00054478,             0.00054478
                     70,                0.66523,                0.45899,                 1.0466,                0.92523,                0.86821,                0.91516,                0.58415,                0.79062,                0.58201,                 1.1108,             0.00052827,             0.00052827,             0.00052827
                     71,                0.66941,                0.44708,                 1.0431,                0.93717,                0.87173,                0.90813,                0.58669,                0.80912,                0.57577,                 1.1346,             0.00051177,             0.00051177,             0.00051177
                     72,                0.66276,                0.46093,                 1.0478,                0.93272,                0.83899,                0.89192,                0.57024,                0.69074,                0.56537,                 1.0679,             0.00049527,             0.00049527,             0.00049527
                     73,                0.68479,                0.45708,                 1.0429,                0.89605,                0.82867,                0.88518,                0.59082,                0.70788,                0.56311,                 1.0641,             0.00047876,             0.00047876,             0.00047876
                     74,                0.64431,                0.44325,                 1.0326,                0.85867,                0.87101,                0.90393,                0.60145,                0.71205,                 0.5416,                 1.0547,             0.00046226,             0.00046226,             0.00046226
                     75,                0.64574,                0.44425,                 1.0267,                  0.858,                0.87427,                0.89515,                0.60903,                0.72854,                0.54054,                 1.0686,             0.00044576,             0.00044576,             0.00044576
